PRESNATN_DAYHMINSEC,WTCD_RGDVS_CD,WTCD_RGDVS,PRSNT_WETHER_CN,NOPHN_CD,VSBT_DIST,ALL_CLAM,MFALF_CLAM,ACLF,PRSNT_CELSTEMP,DWP_CELSTEMP,DSFX,FEEL_CELSTEMP,TOP_CELSTEMP,NMYR_TOP_CELSTEMP,CTNY_TOP_CELSTEMP,LWST_CELSTEMP,NMYR_LWST_CELSTEMP,CTNY_LWST_CELSTEMP,DAY_PRCPT,PCNTS_PRCPT,NW_MSNF,MSNF,RLTV_HMDT,WNDRC_CN,WIND_MPS,LAST_CHANGE_DAYHMINSEC
2026040707,279,구미,留묒쓬,-99.0,50.0,0,0,-99.0,5.5,-5.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,45.0,27.0,1.6,202604.0
2026033122,248,장수,?먮┝,-99.0,40.59,9,9,-99.0,12.4,9.2,-99,-99,-99,-99,-99,-99,-99,-99.0,8.7,-99,-99,-99.0,81.0,20.0,1.4,203000.0
2026040312,155,창원,援щ쫫議곌툑,-99.0,15.86,5,0,-99.0,19.9,3.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,34.0,11.0,4.2,202604.0
2026040621,140,군산,留묒쓬,-99.0,39.23,0,0,-99.0,9.2,3.1,-99,-99,-99,-99,-99,-99,-99,-99.0,9.3,-99,-99,-99.0,66.0,25.0,2.3,202604.0
2026040205,90,속초,留묒쓬,-99.0,3.32,0,0,-99.0,7.4,6.7,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,96.0,0.0,0.4,202604.0
2026040117,174,순천,?먮┝,-99.0,3.32,10,5,-99.0,12.4,11.2,-99,-99,-99,-99,-99,-99,-99,-99.0,0.9,-99,-99,-99.0,93.0,25.0,0.5,203000.0
2026033119,90,속초,?먮┝,-99.0,18.52,10,3,-99.0,8.5,4.8,-99,-99,-99,-99,-99,-99,-99,-99.0,22.0,-99,-99,-99.0,78.0,20.0,0.7,203000.0
2026040605,281,영천,援щ쫫議곌툑,-99.0,23.31,3,0,-99.0,7.1,5.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,91.0,0.0,0.4,202604.0
2026040202,90,속초,援щ쫫留롮쓬,-99.0,8.13,7,5,-99.0,9.0,7.7,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,92.0,34.0,2.6,202604.0
2026040709,169,흑산도,留묒쓬,-99.0,45.07,0,0,-99.0,10.4,0.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,50.0,36.0,7.4,202604.0
2026033105,159,부산,?쏀븳鍮꾧퀎??留ㅼ떆3mm?댄븯),61.0,7.73,10,10,-99.0,11.8,10.6,-99,-99,-99,-99,-99,-99,-99,-99.0,8.3,-99,-99,-99.0,93.0,7.0,2.5,203000.0
2026033102,188,성산,留묒쓬,-99.0,8.63,2,2,-99.0,15.2,14.2,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,94.0,20.0,4.4,203000.0
2026040403,243,부안,?먮┝,-99.0,3.51,10,4,-99.0,10.5,9.8,-99,-99,-99,-99,-99,-99,-99,-99.0,11.7,-99,-99,-99.0,96.0,5.0,3.4,202604.0
2026040608,236,부여,?먮┝,-99.0,17.04,9,9,-99.0,10.6,9.6,-99,-99,-99,-99,-99,-99,-99,-99.0,7.2,-99,-99,-99.0,94.0,27.0,0.5,202604.0
2026040721,188,성산,留묒쓬,-99.0,50.0,0,0,-99.0,8.3,-1.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,49.0,25.0,2.4,202604.0
2026040702,211,인제,留묒쓬,-99.0,50.0,0,0,-99.0,1.7,-5.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,57.0,34.0,0.9,202604.0
2026040116,114,원주,?먮┝,-99.0,16.75,10,1,-99.0,14.8,9.7,-99,-99,-99,-99,-99,-99,-99,-99.0,0.2,-99,-99,-99.0,72.0,18.0,2.1,203000.0
2026040505,238,금산,?먮┝,-99.0,29.59,9,9,-99.0,6.9,2.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,76.0,23.0,1.2,202604.0
2026033119,243,부안,援щ쫫議곌툑,-99.0,7.41,5,0,-99.0,11.2,8.5,-99,-99,-99,-99,-99,-99,-99,-99.0,9.5,-99,-99,-99.0,84.0,32.0,1.8,203000.0
2026040503,295,남해,留묒쓬,-99.0,28.12,0,0,-99.0,9.6,5.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,74.0,27.0,2.0,202604.0
2026040218,284,거창,留묒쓬,-99.0,43.57,0,0,-99.0,17.3,-1.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,28.0,29.0,4.2,202604.0
2026040720,232,천안,留묒쓬,-99.0,50.0,0,0,-99.0,7.8,-4.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,43.0,32.0,1.8,202604.0
2026040217,217,정선군,留묒쓬,-99.0,18.26,0,0,-99.0,16.9,-0.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,30.0,20.0,2.3,202604.0
